"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"10462973"	"0.00003976"	"2.68e-08"	"17.7851127"	"9.69843"	"2.5688825"	"Hells"	"helicase, lymphoid specific"
"10590381"	"0.00004612"	"3.24e-08"	"-17.4037323"	"9.53171"	"-1.9767275"	"Vipr1"	"vasoactive intestinal peptide receptor 1"
"10427454"	"0.00005"	"3.66e-08"	"-17.1660317"	"9.42532"	"-2.1412975"	"Card6"	"caspase recruitment domain family, member 6"
"10511282"	"0.00005136"	"3.90e-08"	"17.0395165"	"9.36788"	"2.31578"	"Tnfrsf4"	"tumor necrosis factor receptor superfamily, member 4"
"10345791"	"0.0000544"	"4.71e-08"	"16.6753474"	"9.19939"	"2.6003275"	"Il1rl1"	"interleukin 1 receptor-like 1"
"10459071"	"0.0000544"	"4.90e-08"	"16.5986149"	"9.16327"	"2.5630275"	"Smim3"	"small integral membrane protein 3"
"10360985"	"0.0000544"	"4.97e-08"	"16.5710024"	"9.15022"	"2.3697875"	"Cenpf"	"centromere protein F"
"10399087"	"0.0000544"	"5.01e-08"	"16.5569956"	"9.14359"	"2.42752"	"Ncapg2"	"non-SMC condensin II complex, subunit G2"
"10404422"	"0.0000544"	"5.07e-08"	"16.5340155"	"9.13269"	"3.662275"	"Serpinb6b"	"serine (or cysteine) peptidase inhibitor, clade B, member 6b"
"10439895"	"0.0000544"	"5.08e-08"	"16.5306546"	"9.1311"	"3.215065"	"Alcam"	"activated leukocyte cell adhesion molecule"
"10421517"	"0.0000544"	"5.20e-08"	"16.4852165"	"9.10949"	"3.8176"	"Cysltr2"	"cysteinyl leukotriene receptor 2"
"10384373"	"0.00005576"	"5.49e-08"	"16.3837679"	"9.06098"	"2.5151"	"Fignl1"	"fidgetin-like 1"
"10359201"	"0.00005967"	"6.29e-08"	"-16.1291831"	"8.9375"	"-1.7327875"	"Ralgps2"	"Ral GEF with PH domain and SH3 binding motif 2"
"10434754"	"0.00005967"	"6.35e-08"	"-16.1107432"	"8.92846"	"-2.54957"	"B630019A10Rik///C730014E05Rik"	"RIKEN cDNA B630019A10 gene///RIKEN cDNA C730014E05 gene"
"10497122"	"0.00005967"	"6.38e-08"	"16.1036326"	"8.92497"	"2.864325"	"Depdc1a"	"DEP domain containing 1a"
"10446229"	"0.00006066"	"6.65e-08"	"16.0251348"	"8.88631"	"2.89447"	"Tnfsf9"	"tumor necrosis factor (ligand) superfamily, member 9"
"10397359"	"0.00006434"	"7.24e-08"	"15.8705098"	"8.80946"	"2.4346875"	"Batf"	"basic leucine zipper transcription factor, ATF-like"
"10531415"	"0.00006571"	"7.94e-08"	"15.7017956"	"8.72451"	"3.641135"	"Cxcl10"	"chemokine (C-X-C motif) ligand 10"
"10345807"	"0.00006571"	"7.96e-08"	"15.6975173"	"8.72234"	"2.420015"	"Il18r1"	"interleukin 18 receptor 1"
"10466210"	"0.00006571"	"8.07e-08"	"15.6738368"	"8.71032"	"2.681585"	"Ms4a6d"	"membrane-spanning 4-domains, subfamily A, member 6D"
"10466606"	"0.00006571"	"8.13e-08"	"15.6591985"	"8.70287"	"3.1454775"	"Anxa1"	"annexin A1"
"10395389"	"0.00008159"	"1.06e-07"	"15.1906358"	"8.45996"	"3.4986575"	"Sostdc1"	"sclerostin domain containing 1"
"10513729"	"0.00008159"	"1.08e-07"	"15.1511744"	"8.43908"	"2.1274725"	"Tnfsf8"	"tumor necrosis factor (ligand) superfamily, member 8"
"10586227"	"0.00008159"	"1.09e-07"	"15.1364982"	"8.43129"	"2.32929"	"Dennd4a"	"DENN/MADD domain containing 4A"
"10482484"	"0.00008159"	"1.14e-07"	"-15.0608438"	"8.39102"	"-2.06147"	""	""
"10582997"	"0.00008159"	"1.15e-07"	"15.0483297"	"8.38433"	"3.9493675"	"Casp4"	"caspase 4, apoptosis-related cysteine peptidase"
"10424779"	"0.00008159"	"1.20e-07"	"14.9749641"	"8.345"	"2.445965"	"Cks2"	"CDC28 protein kinase regulatory subunit 2"
"10441530"	"0.00008159"	"1.21e-07"	"14.9592339"	"8.33653"	"2.74172"	"Sytl3"	"synaptotagmin-like 3"
"10396421"	"0.00008159"	"1.22e-07"	"14.9496404"	"8.33137"	"1.84462"	"Hif1a"	"hypoxia inducible factor 1, alpha subunit"
"10601011"	"0.00008159"	"1.23e-07"	"14.9233323"	"8.31717"	"2.9108725"	"Kif4"	"kinesin family member 4"
"10353004"	"0.00008159"	"1.24e-07"	"14.9158518"	"8.31313"	"2.648555"	"Cks2"	"CDC28 protein kinase regulatory subunit 2"
"10356866"	"0.00008399"	"1.33e-07"	"14.7962834"	"8.2482"	"2.632015"	"Pdcd1"	"programmed cell death 1"
"10487480"	"0.00008399"	"1.34e-07"	"14.7759702"	"8.23711"	"3.362185"	"Bub1"	"BUB1, mitotic checkpoint serine/threonine kinase"
"10496204"	"0.00008399"	"1.35e-07"	"14.7730303"	"8.2355"	"2.9867375"	"Cenpe"	"centromere protein E"
"10404429"	"0.00008593"	"1.40e-07"	"14.7043953"	"8.19786"	"3.0224"	"Serpinb9"	"serine (or cysteine) peptidase inhibitor, clade B, member 9"
"10345824"	"0.00008679"	"1.44e-07"	"14.6584477"	"8.17255"	"4.0705775"	"Il18rap"	"interleukin 18 receptor accessory protein"
"10482448"	"0.00008731"	"1.47e-07"	"14.6198231"	"8.1512"	"2.13049"	"Zeb2"	"zinc finger E-box binding homeobox 2"
"10590494"	"0.00008747"	"1.50e-07"	"14.588909"	"8.13405"	"3.2119075"	"Kif15"	"kinesin family member 15"
"10399710"	"0.0000905"	"1.59e-07"	"14.4928356"	"8.0805"	"1.5698675"	"Rsad2"	"radical S-adenosyl methionine domain containing 2"
"10411728"	"0.0000905"	"1.60e-07"	"14.4772019"	"8.07175"	"3.0964225"	"Cenph"	"centromere protein H"
"10576883"	"0.00009168"	"1.65e-07"	"14.4258392"	"8.0429"	"3.5946775"	"Shcbp1"	"Shc SH2-domain binding protein 1"
"10531407"	"0.00009168"	"1.75e-07"	"14.3264715"	"7.98675"	"1.870925"	"Cxcl9"	"chemokine (C-X-C motif) ligand 9"
"10421877"	"0.00009168"	"1.82e-07"	"14.2650505"	"7.9518"	"2.3820775"	"Diaph3"	"diaphanous related formin 3"
"10362811"	"0.00009168"	"1.87e-07"	"-14.2225584"	"7.92752"	"-1.9787625"	"Sesn1"	"sestrin 1"
"10523595"	"0.00009168"	"1.90e-07"	"14.1928574"	"7.9105"	"2.2156425"	"Ptpn13"	"protein tyrosine phosphatase, non-receptor type 13"
"10437687"	"0.00009168"	"1.91e-07"	"14.1866924"	"7.90696"	"1.66346"	"Litaf"	"LPS-induced TN factor"
"10536794"	"0.00009168"	"1.92e-07"	"14.1802965"	"7.90329"	"1.6551025"	"Hilpda"	"hypoxia inducible lipid droplet associated"
"10385248"	"0.00009168"	"1.93e-07"	"14.1694633"	"7.89706"	"2.7147025"	"Hmmr"	"hyaluronan mediated motility receptor (RHAMM)"
"10550509"	"0.00009168"	"1.93e-07"	"14.1673637"	"7.89585"	"2.611375"	"Pglyrp1"	"peptidoglycan recognition protein 1"
"10568714"	"0.00009168"	"1.94e-07"	"14.1580651"	"7.8905"	"3.7291525"	"Mki67"	"antigen identified by monoclonal antibody Ki 67"
"10545135"	"0.00009168"	"1.97e-07"	"14.1322682"	"7.87564"	"3.555705"	"Il12rb2"	"interleukin 12 receptor, beta 2"
"10485405"	"0.00009168"	"2.02e-07"	"14.0954465"	"7.85437"	"2.4478225"	"Cd44"	"CD44 antigen"
"10475517"	"0.00009168"	"2.03e-07"	"14.0889461"	"7.8506"	"3.8917325"	"AA467197"	"expressed sequence AA467197"
"10484894"	"0.00009168"	"2.03e-07"	"14.0864059"	"7.84913"	"2.964855"	"Ptprj"	"protein tyrosine phosphatase, receptor type, J"
"10449652"	"0.00009168"	"2.03e-07"	"-14.0838929"	"7.84768"	"-1.967085"	"Gm9937"	"predicted gene 9937"
"10595371"	"0.00009168"	"2.04e-07"	"14.0807925"	"7.84588"	"2.931495"	"Hmgn3"	"high mobility group nucleosomal binding domain 3"
"10498599"	"0.00009274"	"2.09e-07"	"-14.0414007"	"7.82302"	"-2.84197"	"Ift80"	"intraflagellar transport 80"
"10403069"	"0.00009337"	"2.13e-07"	"14.0101616"	"7.80484"	"3.3511425"	"Igh-VJ558///Ighm///Igh-VJ558///Ighm"	"immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu///immunoglobulin heavy chain (J558 family)///immunoglobulin heavy constant mu"
"10590631"	"0.00009557"	"2.20e-07"	"13.9525086"	"7.77116"	"2.5998925"	"Ccr2"	"chemokine (C-C motif) receptor 2"
"10407985"	"0.00009606"	"2.25e-07"	"13.9176875"	"7.75073"	"1.8181175"	"Gpr141"	"G protein-coupled receptor 141"
"10477187"	"0.00009606"	"2.27e-07"	"13.9051923"	"7.74339"	"2.8426025"	"Tpx2"	"TPX2, microtubule-associated"
"10532896"	"0.00009615"	"2.31e-07"	"13.8749246"	"7.72557"	"1.5384675"	"2610524H06Rik"	"RIKEN cDNA 2610524H06 gene"
"10530503"	"0.00009615"	"2.35e-07"	"-13.8495175"	"7.71058"	"-2.7153025"	"Cnga1"	"cyclic nucleotide gated channel alpha 1"
"10350392"	"0.00009615"	"2.39e-07"	"13.8232072"	"7.69501"	"2.060405"	"Aspm"	"asp (abnormal spindle)-like, microcephaly associated (Drosophila)"
"10375443"	"0.00009615"	"2.40e-07"	"13.817091"	"7.69139"	"2.822495"	"Havcr2"	"hepatitis A virus cellular receptor 2"
"10366346"	"0.00009615"	"2.47e-07"	"13.7670127"	"7.66166"	"1.9456075"	"Phlda1"	"pleckstrin homology like domain, family A, member 1"
"10472846"	"0.00009615"	"2.48e-07"	"-13.7621596"	"7.65877"	"-2.4307075"	"Pdk1"	"pyruvate dehydrogenase kinase, isoenzyme 1"
"10357488"	"0.00009615"	"2.49e-07"	"-13.7540812"	"7.65396"	"-3.2802075"	"Cd55"	"CD55 molecule, decay accelerating factor for complement"
"10587383"	"0.00009615"	"2.49e-07"	"13.7540279"	"7.65393"	"1.914815"	"Cd109"	"CD109 antigen"
"10356082"	"0.00009615"	"2.51e-07"	"13.7399807"	"7.64556"	"2.6526875"	"Plscr1"	"phospholipid scramblase 1"
"10482772"	"0.00009865"	"2.61e-07"	"13.6797532"	"7.60955"	"3.1807975"	"Nr4a2"	"nuclear receptor subfamily 4, group A, member 2"
"10455954"	"0.00009865"	"2.64e-07"	"13.6650577"	"7.60074"	"2.180735"	"Gm4951"	"predicted gene 4951"
"10530145"	"0.00009866"	"2.73e-07"	"-13.6108241"	"7.56811"	"-2.0462675"	"Tlr1"	"toll-like receptor 1"
"10434869"	"0.00009866"	"2.75e-07"	"13.596854"	"7.55968"	"2.07746"	"Ccdc50"	"coiled-coil domain containing 50"
"10483178"	"0.00009866"	"2.76e-07"	"13.5945396"	"7.55828"	"1.7820875"	"Cobll1"	"Cobl-like 1"
"10476939"	"0.00009866"	"2.76e-07"	"-13.5917006"	"7.55657"	"-1.7877625"	"Zfp442///Zfp937///3300002I08Rik"	"zinc finger protein 442///zinc finger protein 937///RIKEN cDNA 3300002I08 gene"
"10461369"	"0.00009866"	"2.83e-07"	"13.5511463"	"7.53203"	"2.222745"	"Ahnak"	"AHNAK nucleoprotein (desmoyokin)"
"10603567"	"0.00009866"	"2.83e-07"	"13.5504461"	"7.53161"	"1.800895"	"Dynlt3"	"dynein light chain Tctex-type 3"
"10351197"	"0.00009866"	"2.87e-07"	"-13.5318862"	"7.52035"	"-3.095415"	"Sell"	"selectin, lymphocyte"
"10605674"	"0.00009866"	"2.89e-07"	"13.5215751"	"7.51409"	"1.976205"	"Pola1"	"polymerase (DNA directed), alpha 1"
"10346799"	"0.00009866"	"2.92e-07"	"13.5033652"	"7.50301"	"2.4947025"	"Icos"	"inducible T cell co-stimulator"
"10360406"	"0.00009866"	"2.93e-07"	"13.4965672"	"7.49888"	"2.24732"	"Ifi205"	"interferon activated gene 205"
"10595633"	"0.00009866"	"2.94e-07"	"13.4916072"	"7.49586"	"1.98404"	"Bcl2a1d///Bcl2a1c///Bcl2a1b///Bcl2a1a"	"B cell leukemia/lymphoma 2 related protein A1d///B cell leukemia/lymphoma 2 related protein A1c///B cell leukemia/lymphoma 2 related protein A1b///B cell leukemia/lymphoma 2 related protein A1a"
"10450325"	"0.0000992"	"2.99e-07"	"13.4682443"	"7.48161"	"1.42393"	"Cfb"	"complement factor B"
"10466127"	"0.00009925"	"3.01e-07"	"13.4529902"	"7.47229"	"2.2037875"	"AW112010"	"expressed sequence AW112010"
"10483074"	"0.00010139"	"3.11e-07"	"13.4051478"	"7.44299"	"2.54486"	"Gcg"	"glucagon"
"10406254"	"0.00010152"	"3.14e-07"	"13.3888469"	"7.43298"	"2.1613825"	"Ell2"	"elongation factor RNA polymerase II 2"
"10511939"	"0.0001058"	"3.32e-07"	"-13.3006938"	"7.37859"	"-2.92426"	"Spaca1"	"sperm acrosome associated 1"
"10485607"	"0.0001058"	"3.33e-07"	"-13.2965322"	"7.37601"	"-2.06349"	"Qser1"	"glutamine and serine rich 1"
"10582985"	"0.0001064"	"3.38e-07"	"13.2739481"	"7.36201"	"4.103135"	"Casp1"	"caspase 1"
"10545215"	"0.00010926"	"3.50e-07"	"13.2192886"	"7.32799"	"2.87922"	"Igk-V28"	"immunoglobulin kappa chain variable 28 (V28)"
"10389231"	"0.0001114"	"3.61e-07"	"13.1724055"	"7.29869"	"5.6556625"	"Ccl3"	"chemokine (C-C motif) ligand 3"
"10405185"	"0.0001114"	"3.63e-07"	"13.1626972"	"7.29261"	"2.521385"	"Cks2"	"CDC28 protein kinase regulatory subunit 2"
"10390707"	"0.00011316"	"3.76e-07"	"13.1117866"	"7.26063"	"3.2132625"	"Top2a"	"topoisomerase (DNA) II alpha"
"10463070"	"0.00011316"	"3.78e-07"	"13.1015775"	"7.2542"	"2.367455"	"Entpd1"	"ectonucleoside triphosphate diphosphohydrolase 1"
"10540472"	"0.00011316"	"3.79e-07"	"13.0994768"	"7.25287"	"4.4924675"	"Bhlhe40"	"basic helix-loop-helix family, member e40"
"10554445"	"0.0001148"	"3.87e-07"	"13.0646516"	"7.23089"	"3.1511375"	"Prc1"	"protein regulator of cytokinesis 1"
"10439527"	"0.00011611"	"3.95e-07"	"13.0347052"	"7.21194"	"3.2412675"	"Tigit"	"T cell immunoreceptor with Ig and ITIM domains"
"10543067"	"0.0001173"	"4.02e-07"	"13.0066274"	"7.19412"	"1.671265"	"Asns"	"asparagine synthetase"
"10544660"	"0.00011733"	"4.06e-07"	"12.9937759"	"7.18595"	"2.463365"	"Osbpl3"	"oxysterol binding protein-like 3"
"10580450"	"0.00011885"	"4.14e-07"	"-12.9620396"	"7.16573"	"-2.778835"	""	""
"10541729"	"0.00012147"	"4.30e-07"	"12.9048661"	"7.12917"	"1.9332075"	"Cdca3"	"cell division cycle associated 3"
"10592201"	"0.00012147"	"4.30e-07"	"12.9047754"	"7.12911"	"2.2355"	"Chek1"	"checkpoint kinase 1"
"10480432"	"0.00012262"	"4.40e-07"	"12.8713417"	"7.10764"	"2.0329225"	"Mastl"	"microtubule associated serine/threonine kinase-like"
"10429564"	"0.00012262"	"4.41e-07"	"12.8668265"	"7.10474"	"1.4677625"	"Ly6a"	"lymphocyte antigen 6 complex, locus A"
"10558769"	"0.00012273"	"4.45e-07"	"12.853777"	"7.09634"	"2.93014"	"Ifitm1"	"interferon induced transmembrane protein 1"
"10514658"	"0.0001228"	"4.49e-07"	"12.841231"	"7.08826"	"2.17741"	""	""
"10400589"	"0.00012473"	"4.60e-07"	"12.8054448"	"7.06515"	"2.29124"	"Mis18bp1"	"MIS18 binding protein 1"
"10591556"	"0.00012473"	"4.63e-07"	"12.7950012"	"7.05839"	"2.2934725"	"Spc24"	"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
"10496580"	"0.00012562"	"4.70e-07"	"12.7730059"	"7.04414"	"1.710055"	"Gbp3"	"guanylate binding protein 3"
"10530615"	"0.00012667"	"4.77e-07"	"12.7493818"	"7.0288"	"3.6369275"	"Ociad2"	"OCIA domain containing 2"
"10346365"	"0.00012941"	"4.93e-07"	"12.7017197"	"6.99776"	"2.275755"	"Sgol2a"	"shugoshin-like 2a (S. pombe)"
"10604187"	"0.00012941"	"4.95e-07"	"12.6954449"	"6.99366"	"1.4929425"	"Lamp2"	"lysosomal-associated membrane protein 2"
"10553598"	"0.00013266"	"5.12e-07"	"12.6453561"	"6.96088"	"1.353455"	"Cyfip1"	"cytoplasmic FMR1 interacting protein 1"
"10558134"	"0.00013266"	"5.15e-07"	"-12.6369314"	"6.95535"	"-1.509485"	"Plekha1"	"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1"
"10525591"	"0.00013354"	"5.22e-07"	"12.6164115"	"6.94186"	"1.39568"	"Kntc1"	"kinetochore associated 1"
"10388042"	"0.00013858"	"5.46e-07"	"12.5511144"	"6.8988"	"2.7476575"	"6330403K07Rik"	"RIKEN cDNA 6330403K07 gene"
"10384458"	"0.00013891"	"5.54e-07"	"12.5284889"	"6.88381"	"4.3799225"	"Plek"	"pleckstrin"
"10532150"	"0.00013891"	"5.55e-07"	"-12.5268149"	"6.8827"	"-1.434245"	"Fam69a"	"family with sequence similarity 69, member A"
"10445293"	"0.00014091"	"5.67e-07"	"12.4954696"	"6.8619"	"1.5174175"	"Pla2g7"	"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
"10474875"	"0.00014451"	"5.92e-07"	"12.4305713"	"6.81863"	"3.0733425"	"Casc5"	"cancer susceptibility candidate 5"
"10563883"	"0.00014451"	"5.93e-07"	"12.4284712"	"6.81722"	"2.667385"	"Depdc1a"	"DEP domain containing 1a"
"10519652"	"0.00014451"	"5.93e-07"	"12.428179"	"6.81703"	"1.8523975"	"Gm6460///Gm6455///4933402N22Rik///Gm5861///Speer1"	"predicted gene 6460///predicted gene 6455///RIKEN cDNA 4933402N22 gene///predicted gene 5861///spermatogenesis associated glutamate (E)-rich protein 1"
"10538832"	"0.00014478"	"5.99e-07"	"12.4155624"	"6.80858"	"1.424975"	"Mad2l1"	"MAD2 mitotic arrest deficient-like 1"
"10379721"	"0.00015222"	"6.34e-07"	"12.3327842"	"6.75295"	"2.52753"	"Ccl4"	"chemokine (C-C motif) ligand 4"
"10360377"	"0.00015849"	"6.70e-07"	"12.2529234"	"6.69889"	"2.5188775"	"AI607873"	"expressed sequence AI607873"
"10359982"	"0.00015849"	"6.73e-07"	"12.2460199"	"6.6942"	"2.1455025"	"Atf6"	"activating transcription factor 6"
"10482177"	"0.00015849"	"6.73e-07"	"-12.2455517"	"6.69388"	"-1.56017"	"Strbp"	"spermatid perinuclear RNA binding protein"
"10461721"	"0.00015939"	"6.86e-07"	"12.2187306"	"6.67563"	"2.027565"	"Mpeg1"	"macrophage expressed gene 1"
"10521731"	"0.00015939"	"6.86e-07"	"12.2184596"	"6.67544"	"3.443055"	"Ncapg"	"non-SMC condensin I complex, subunit G"
"10439934"	"0.00016151"	"7.00e-07"	"12.1900896"	"6.65608"	"3.101175"	""	""
"10341183"	"0.00016192"	"7.11e-07"	"-12.1668567"	"6.64019"	"-2.8191425"	""	""
"10591781"	"0.00016192"	"7.13e-07"	"12.1635519"	"6.63793"	"1.4340725"	"Anln"	"anillin, actin binding protein"
"10369702"	"0.00016192"	"7.15e-07"	"-12.1588719"	"6.63472"	"-3.224065"	"Tet1"	"tet methylcytosine dioxygenase 1"
"10521090"	"0.00016444"	"7.31e-07"	"12.1277058"	"6.61334"	"2.101065"	"Tacc3"	"transforming, acidic coiled-coil containing protein 3"
"10574027"	"0.00016649"	"7.49e-07"	"12.0925865"	"6.58917"	"2.1822925"	"Mt1"	"metallothionein 1"
"10364950"	"0.00016649"	"7.49e-07"	"12.0920489"	"6.5888"	"2.1456625"	"Gadd45b"	"growth arrest and DNA-damage-inducible 45 beta"
"10503334"	"0.00016735"	"7.58e-07"	"12.0758694"	"6.57764"	"3.0469675"	"Gem"	"GTP binding protein (gene overexpressed in skeletal muscle)"
"10570434"	"0.00017223"	"7.85e-07"	"12.0262585"	"6.54331"	"4.0931625"	"Ifitm1"	"interferon induced transmembrane protein 1"
"10359339"	"0.00017452"	"8.00e-07"	"11.9988746"	"6.5243"	"2.0391675"	"Rabgap1l"	"RAB GTPase activating protein 1-like"
"10389395"	"0.00017747"	"8.19e-07"	"11.9665517"	"6.50179"	"1.9990425"	"Brip1"	"BRCA1 interacting protein C-terminal helicase 1"
"10420877"	"0.00017936"	"8.32e-07"	"11.9430588"	"6.48539"	"1.6234975"	"Esco2"	"establishment of sister chromatid cohesion N-acetyltransferase 2"
"10451061"	"0.00018013"	"8.41e-07"	"11.9285525"	"6.47525"	"1.528015"	"Runx2"	"runt related transcription factor 2"
"10594774"	"0.00018056"	"8.51e-07"	"11.9117353"	"6.46348"	"3.5240025"	"Ccnb2"	"cyclin B2"
"10458285"	"0.00018056"	"8.53e-07"	"11.9083296"	"6.46109"	"1.58654"	"Spata24"	"spermatogenesis associated 24"
"10385912"	"0.00018063"	"8.59e-07"	"11.8994618"	"6.45487"	"2.5928725"	"Csf2"	"colony stimulating factor 2 (granulocyte-macrophage)"
"10547906"	"0.00018401"	"8.80e-07"	"11.8652085"	"6.4308"	"2.5840575"	"Lag3"	"lymphocyte-activation gene 3"
"10554013"	"0.00018892"	"9.13e-07"	"11.8138768"	"6.3946"	"2.498195"	"Chsy1"	"chondroitin sulfate synthase 1"
"10446027"	"0.00018892"	"9.14e-07"	"11.8120594"	"6.39331"	"1.86283"	"Chaf1a"	"chromatin assembly factor 1, subunit A (p150)"
"10581813"	"0.00019094"	"9.29e-07"	"11.7891326"	"6.37708"	"1.745235"	"Mlkl"	"mixed lineage kinase domain-like"
"10484201"	"0.00019495"	"9.54e-07"	"11.7522765"	"6.35092"	"2.7000125"	"Ccdc141"	"coiled-coil domain containing 141"
"10541034"	"0.00019606"	"9.70e-07"	"11.7293614"	"6.33461"	"2.0698675"	"Zfand4"	"zinc finger, AN1-type domain 4"
"10414315"	"0.00019606"	"9.73e-07"	"11.7251679"	"6.33162"	"1.8829775"	"Cdkn3"	"cyclin-dependent kinase inhibitor 3"
"10349603"	"0.00019606"	"9.76e-07"	"11.7207115"	"6.32844"	"2.3288525"	"Il10"	"interleukin 10"
"10451805"	"0.00021027"	"1.05e-06"	"11.616384"	"6.25369"	"1.471545"	"Sgol1"	"shugoshin-like 1 (S. pombe)"
"10483401"	"0.00021252"	"1.07e-06"	"11.5941042"	"6.23763"	"2.537495"	"Spc25"	"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
"10436106"	"0.00021263"	"1.08e-06"	"11.5857346"	"6.23159"	"2.0017325"	"C330027C09Rik"	"RIKEN cDNA C330027C09 gene"
"10603346"	"0.0002154"	"1.10e-06"	"11.560442"	"6.21331"	"1.4518625"	"Plp2"	"proteolipid protein 2"
"10533246"	"0.00021929"	"1.12e-06"	"11.52843"	"6.19011"	"1.86034"	"Oas1a///Oas1g"	"2'-5' oligoadenylate synthetase 1A///2'-5' oligoadenylate synthetase 1G"
"10359890"	"0.0002197"	"1.13e-06"	"11.5184098"	"6.18283"	"2.94324"	"Nuf2"	"NUF2, NDC80 kinetochore complex component"
"10452815"	"0.00022629"	"1.17e-06"	"11.4673894"	"6.14567"	"1.7280225"	"Xdh"	"xanthine dehydrogenase"
"10369690"	"0.00022629"	"1.18e-06"	"-11.4633825"	"6.14275"	"-2.4740425"	"Tet1"	"tet methylcytosine dioxygenase 1"
"10408935"	"0.00023141"	"1.21e-06"	"11.4257891"	"6.11525"	"2.951535"	"Atxn1"	"ataxin 1"
"10442219"	"0.00023165"	"1.22e-06"	"11.4170747"	"6.10886"	"1.892175"	"Zfp52"	"zinc finger protein 52"
"10518300"	"0.00023756"	"1.26e-06"	"11.3758875"	"6.07859"	"1.675145"	"Tnfrsf1b"	"tumor necrosis factor receptor superfamily, member 1b"
"10493990"	"0.0002411"	"1.28e-06"	"11.3487583"	"6.0586"	"1.3024225"	"S100a11"	"S100 calcium binding protein A11"
"10606654"	"0.0002447"	"1.33e-06"	"-11.3036342"	"6.02522"	"-2.51253"	"Xkrx"	"X-linked Kx blood group related, X-linked"
"10358259"	"0.0002447"	"1.33e-06"	"11.2973963"	"6.0206"	"1.2790675"	"Nek7"	"NIMA (never in mitosis gene a)-related expressed kinase 7"
